auth_name,code,name,proj4string
EPSG,2131,NZGD2000 / North Taieri 2000,+proj=tmerc +lat_0=-45.8613888888889 +lon_0=170.2825 +k=0.99996 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs
EPSG,2132,NZGD2000 / Bluff 2000,+proj=tmerc +lat_0=-46.6 +lon_0=168.342777777778 +k=1 +x_0=400000 +y_0=800000 +ellps=GRS80 +units=m +no_defs +type=crs
EPSG,2133,NZGD2000 / UTM zone 58S,+proj=utm +zone=58 +south +ellps=GRS80 +units=m +no_defs +type=crs
EPSG,2134,NZGD2000 / UTM zone 59S,+proj=utm +zone=59 +south +ellps=GRS80 +units=m +no_defs +type=crs
EPSG,2135,NZGD2000 / UTM zone 60S,+proj=utm +zone=60 +south +ellps=GRS80 +units=m +no_defs +type=crs
EPSG,2136,Accra / Ghana National Grid,+proj=tmerc +lat_0=4.66666666666667 +lon_0=-1 +k=0.99975 +x_0=274319.739163358 +y_0=0 +a=6378300 +rf=296 +to_meter=0.304799710181509 +no_defs +type=crs
EPSG,2137,Accra / TM 1 NW,+proj=tmerc +lat_0=0 +lon_0=-1 +k=0.9996 +x_0=500000 +y_0=0 +a=6378300 +rf=296 +units=m +no_defs +type=crs
EPSG,2138,NAD27(CGQ77) / Quebec Lambert,+proj=lcc +lat_0=44 +lon_0=-68.5 +lat_1=60 +lat_2=46 +x_0=0 +y_0=0 +ellps=clrk66 +units=m +no_defs +type=crs
EPSG,2154,RGF93 v1 / Lambert-93,+proj=lcc +lat_0=46.5 +lon_0=3 +lat_1=49 +lat_2=44 +x_0=700000 +y_0=6600000 +ellps=GRS80 +units=m +no_defs +type=crs
EPSG,2157,IRENET95 / Irish Transverse Mercator,+proj=tmerc +lat_0=53.5 +lon_0=-8 +k=0.99982 +x_0=600000 +y_0=750000 +ellps=GRS80 +units=m +no_defs +type=crs
EPSG,2158,IRENET95 / UTM zone 29N,+proj=utm +zone=29 +ellps=GRS80 +units=m +no_defs +type=crs
